titulo,artista,album,duracion,popularidad
I'm Yours (2021 Remaster),Nickelback,21 (2019),199,12
Don't Stop Believin' (2020 Remaster),Imagine Dragons,The Truth About Love (2019),203,16
Believer (2018 Remaster),Adele,A Night at the Opera (2020),295,3
Shape of You (2019 Remaster),Queen,Night Visions (2020),204,2
Don't Stop Believin' (2018 Remaster),Ed Sheeran,Abbey Road (2023),232,20
Hey Jude (2020 Remaster),Adele,Night Visions (2024),193,16
Bohemian Rhapsody (2019 Remaster),The Beatles,Greatest Hits (2021),270,17
Don't Stop Believin' (2023 Remaster),Journey,Night Visions (2022),230,7
Fix You (2020 Remaster),Nickelback,Greatest Hits (2021),295,9
Shape of You (2019 Remaster),Ed Sheeran,The Truth About Love (2022),227,12
Don't Stop Believin' (2023 Remaster),Nickelback,Abbey Road (2020),186,15
Don't Stop Believin' (2022 Remaster),The Beatles,A Night at the Opera (2022),279,14
Believer (2022 Remaster),The Beatles,Night Visions (2016),281,14
Shape of You (2018 Remaster),Imagine Dragons,The Truth About Love (2022),249,9
Just Give Me a Reason (2022 Remaster),The Beatles,A Night at the Opera (2017),182,19
Bohemian Rhapsody (2024 Remaster),Coldplay,All the Right Reasons (2023),253,2
Rockstar (2018 Remaster),Nickelback,Divide (2018),219,8
Fix You (2021 Remaster),Journey,All the Right Reasons (2022),219,5
Believer (2022 Remaster),P!nk,The Truth About Love (2022),296,20
Hey Jude (2018 Remaster),Adele,The Truth About Love (2015),202,7
Bohemian Rhapsody (2019 Remaster),Queen,Abbey Road (2019),208,13
Rockstar (2023 Remaster),Journey,X&Y (2016),292,9
Someone Like You (2023 Remaster),The Beatles,All the Right Reasons (2024),232,6
Shape of You (2024 Remaster),The Beatles,All the Right Reasons (2022),277,5
Someone Like You (2021 Remaster),P!nk,A Night at the Opera (2017),245,2
Just Give Me a Reason (2023 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2015),203,1
Bohemian Rhapsody (2020 Remaster),Jason Mraz,Divide (2020),282,13
Someone Like You (2024 Remaster),Journey,Night Visions (2015),251,3
Shape of You (2024 Remaster),Queen,A Night at the Opera (2018),288,3
Fix You (2023 Remaster),Coldplay,X&Y (2019),193,3
Don't Stop Believin' (2024 Remaster),P!nk,A Night at the Opera (2020),264,19
Bohemian Rhapsody (2023 Remaster),Adele,Divide (2024),196,2
Just Give Me a Reason (2023 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2019),239,10
Shape of You (2020 Remaster),Adele,All the Right Reasons (2024),234,15
Bohemian Rhapsody (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2017),181,15
Someone Like You (2019 Remaster),P!nk,We Sing. We Dance. We Steal Things (2015),244,16
Fix You (2024 Remaster),Queen,Divide (2021),223,16
Someone Like You (2018 Remaster),Coldplay,The Truth About Love (2018),283,13
I'm Yours (2024 Remaster),Journey,A Night at the Opera (2022),193,13
Rockstar (2018 Remaster),Imagine Dragons,X&Y (2022),243,13
Rockstar (2024 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2023),232,14
Believer (2020 Remaster),Journey,Abbey Road (2020),212,15
Fix You (2024 Remaster),P!nk,Abbey Road (2024),265,10
Believer (2022 Remaster),Imagine Dragons,Divide (2020),196,14
I'm Yours (2020 Remaster),Nickelback,X&Y (2018),267,10
Don't Stop Believin' (2020 Remaster),P!nk,X&Y (2016),204,2
Rockstar (2021 Remaster),Imagine Dragons,All the Right Reasons (2018),300,5
Someone Like You (2022 Remaster),P!nk,Divide (2015),205,17
Just Give Me a Reason (2018 Remaster),The Beatles,All the Right Reasons (2024),201,6
I'm Yours (2019 Remaster),Queen,Greatest Hits (2023),224,20
I'm Yours (2023 Remaster),Imagine Dragons,A Night at the Opera (2021),189,6
Rockstar (2019 Remaster),Jason Mraz,Abbey Road (2022),291,6
Fix You (2020 Remaster),Journey,All the Right Reasons (2023),286,10
Bohemian Rhapsody (2022 Remaster),Queen,Divide (2021),241,14
Hey Jude (2022 Remaster),Coldplay,Night Visions (2015),250,4
Fix You (2022 Remaster),Imagine Dragons,Abbey Road (2017),292,5
Rockstar (2018 Remaster),Coldplay,Greatest Hits (2024),212,5
Hey Jude (2022 Remaster),Jason Mraz,21 (2018),268,10
Bohemian Rhapsody (2023 Remaster),Jason Mraz,Divide (2015),232,13
Bohemian Rhapsody (2018 Remaster),Queen,Abbey Road (2018),243,8
Don't Stop Believin' (2023 Remaster),Nickelback,Greatest Hits (2016),219,14
Someone Like You (2022 Remaster),Jason Mraz,Night Visions (2018),298,17
Rockstar (2024 Remaster),P!nk,All the Right Reasons (2018),288,3
Shape of You (2018 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2018),186,1
Someone Like You (2022 Remaster),Queen,Night Visions (2016),186,3
I'm Yours (2018 Remaster),The Beatles,Divide (2019),193,13
Rockstar (2018 Remaster),Adele,Night Visions (2024),216,19
Shape of You (2021 Remaster),Imagine Dragons,The Truth About Love (2019),201,1
Shape of You (2019 Remaster),Queen,Night Visions (2017),207,14
Don't Stop Believin' (2021 Remaster),Journey,Greatest Hits (2024),219,7
Bohemian Rhapsody (2023 Remaster),Jason Mraz,A Night at the Opera (2024),220,16
Rockstar (2022 Remaster),P!nk,A Night at the Opera (2017),236,4
Bohemian Rhapsody (2024 Remaster),P!nk,21 (2019),196,6
I'm Yours (2020 Remaster),Queen,All the Right Reasons (2023),254,9
Fix You (2019 Remaster),Adele,We Sing. We Dance. We Steal Things (2018),205,3
Bohemian Rhapsody (2018 Remaster),P!nk,The Truth About Love (2021),277,19
Believer (2023 Remaster),Ed Sheeran,A Night at the Opera (2021),272,4
Rockstar (2019 Remaster),P!nk,We Sing. We Dance. We Steal Things (2021),229,17
Just Give Me a Reason (2023 Remaster),Queen,Greatest Hits (2022),189,13
Bohemian Rhapsody (2024 Remaster),Coldplay,21 (2020),273,8
Bohemian Rhapsody (2020 Remaster),Queen,Divide (2021),297,7
Believer (2018 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2019),236,3
Shape of You (2023 Remaster),Ed Sheeran,A Night at the Opera (2024),293,20
I'm Yours (2022 Remaster),Coldplay,The Truth About Love (2021),238,6
Someone Like You (2021 Remaster),Ed Sheeran,Abbey Road (2021),241,10
Don't Stop Believin' (2018 Remaster),Queen,The Truth About Love (2016),266,6
Fix You (2022 Remaster),Journey,The Truth About Love (2021),235,7
Believer (2021 Remaster),Journey,Abbey Road (2019),294,18
Hey Jude (2023 Remaster),Queen,We Sing. We Dance. We Steal Things (2018),243,2
Bohemian Rhapsody (2022 Remaster),Jason Mraz,Greatest Hits (2023),240,16
Don't Stop Believin' (2023 Remaster),Adele,A Night at the Opera (2024),237,8
Fix You (2023 Remaster),The Beatles,Night Visions (2017),187,4
Bohemian Rhapsody (2022 Remaster),P!nk,X&Y (2019),223,5
Hey Jude (2018 Remaster),The Beatles,Abbey Road (2022),194,5
Fix You (2019 Remaster),Coldplay,The Truth About Love (2024),193,1
Don't Stop Believin' (2021 Remaster),Queen,X&Y (2016),237,2
Believer (2020 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2023),198,13
Someone Like You (2023 Remaster),P!nk,A Night at the Opera (2017),204,11
Hey Jude (2023 Remaster),P!nk,Divide (2020),191,2
Someone Like You (2024 Remaster),Adele,The Truth About Love (2020),281,16
Believer (2022 Remaster),Nickelback,X&Y (2023),294,13
Rockstar (2021 Remaster),Nickelback,21 (2016),282,11
Believer (2021 Remaster),Journey,The Truth About Love (2022),191,16
I'm Yours (2024 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2023),267,13
Fix You (2022 Remaster),Imagine Dragons,Abbey Road (2021),287,6
Fix You (2021 Remaster),Coldplay,Divide (2024),243,14
I'm Yours (2018 Remaster),Queen,Divide (2015),260,7
Don't Stop Believin' (2021 Remaster),Adele,21 (2021),239,3
Someone Like You (2020 Remaster),Imagine Dragons,Greatest Hits (2021),190,14
Shape of You (2024 Remaster),P!nk,X&Y (2018),284,14
Hey Jude (2023 Remaster),P!nk,The Truth About Love (2021),232,3
Fix You (2022 Remaster),Ed Sheeran,21 (2019),244,11
Someone Like You (2024 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2020),294,20
Rockstar (2019 Remaster),Coldplay,21 (2021),199,6
Fix You (2021 Remaster),Ed Sheeran,Abbey Road (2023),278,3
Shape of You (2019 Remaster),Nickelback,Greatest Hits (2018),213,7
Fix You (2023 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2017),235,9
Just Give Me a Reason (2023 Remaster),Adele,Abbey Road (2017),231,15
Don't Stop Believin' (2024 Remaster),Ed Sheeran,All the Right Reasons (2017),268,18
Fix You (2023 Remaster),Nickelback,All the Right Reasons (2019),203,1
Believer (2019 Remaster),P!nk,A Night at the Opera (2021),223,11
Believer (2024 Remaster),Ed Sheeran,The Truth About Love (2021),223,10
Don't Stop Believin' (2024 Remaster),P!nk,Night Visions (2020),288,19
Fix You (2023 Remaster),The Beatles,A Night at the Opera (2018),230,17
Bohemian Rhapsody (2021 Remaster),The Beatles,Night Visions (2019),247,12
Someone Like You (2024 Remaster),Queen,21 (2017),271,15
Just Give Me a Reason (2019 Remaster),The Beatles,Greatest Hits (2022),193,3
Hey Jude (2021 Remaster),Coldplay,21 (2023),221,3
Shape of You (2021 Remaster),Adele,Divide (2023),234,19
Hey Jude (2019 Remaster),Imagine Dragons,The Truth About Love (2017),238,11
I'm Yours (2020 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2020),237,5
Hey Jude (2021 Remaster),Nickelback,Divide (2022),250,17
Just Give Me a Reason (2018 Remaster),P!nk,Divide (2024),206,2
Just Give Me a Reason (2019 Remaster),Ed Sheeran,Divide (2015),235,5
Just Give Me a Reason (2018 Remaster),Queen,Abbey Road (2018),295,2
Bohemian Rhapsody (2022 Remaster),P!nk,All the Right Reasons (2017),235,17
Bohemian Rhapsody (2022 Remaster),Ed Sheeran,All the Right Reasons (2022),201,9
Believer (2023 Remaster),Coldplay,Abbey Road (2018),236,11
Believer (2019 Remaster),Ed Sheeran,All the Right Reasons (2022),265,10
Just Give Me a Reason (2021 Remaster),P!nk,A Night at the Opera (2016),296,20
Bohemian Rhapsody (2023 Remaster),P!nk,Abbey Road (2021),188,5
Hey Jude (2019 Remaster),Jason Mraz,X&Y (2020),193,20
Shape of You (2023 Remaster),Journey,X&Y (2015),257,9
Just Give Me a Reason (2018 Remaster),The Beatles,A Night at the Opera (2019),243,15
Someone Like You (2022 Remaster),Journey,Divide (2016),242,1
Fix You (2019 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2016),296,11
Rockstar (2021 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2018),280,2
Just Give Me a Reason (2020 Remaster),Nickelback,Abbey Road (2016),221,18
Rockstar (2023 Remaster),Ed Sheeran,Greatest Hits (2020),255,20
I'm Yours (2018 Remaster),Nickelback,A Night at the Opera (2020),299,6
Believer (2018 Remaster),Ed Sheeran,All the Right Reasons (2019),200,2
Don't Stop Believin' (2019 Remaster),Journey,We Sing. We Dance. We Steal Things (2020),286,1
Shape of You (2018 Remaster),Jason Mraz,The Truth About Love (2023),243,1
Just Give Me a Reason (2022 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2022),291,13
Shape of You (2018 Remaster),Journey,We Sing. We Dance. We Steal Things (2024),297,20
Just Give Me a Reason (2020 Remaster),The Beatles,Night Visions (2023),207,13
Fix You (2019 Remaster),P!nk,We Sing. We Dance. We Steal Things (2021),207,13
Hey Jude (2024 Remaster),Imagine Dragons,Greatest Hits (2023),207,14
Shape of You (2018 Remaster),Adele,X&Y (2015),274,8
Don't Stop Believin' (2019 Remaster),P!nk,All the Right Reasons (2016),278,7
Someone Like You (2019 Remaster),The Beatles,Abbey Road (2023),259,9
Rockstar (2023 Remaster),Adele,The Truth About Love (2024),197,5
Hey Jude (2022 Remaster),Ed Sheeran,X&Y (2021),182,14
Believer (2021 Remaster),P!nk,X&Y (2019),188,9
Fix You (2019 Remaster),Ed Sheeran,Night Visions (2019),207,3
Just Give Me a Reason (2023 Remaster),Ed Sheeran,Abbey Road (2024),222,9
Just Give Me a Reason (2018 Remaster),Nickelback,Abbey Road (2017),213,19
Fix You (2018 Remaster),Imagine Dragons,All the Right Reasons (2020),263,9
Believer (2019 Remaster),Journey,A Night at the Opera (2015),228,1
Shape of You (2021 Remaster),The Beatles,21 (2024),248,17
Hey Jude (2019 Remaster),P!nk,Abbey Road (2015),196,20
Bohemian Rhapsody (2019 Remaster),Adele,We Sing. We Dance. We Steal Things (2015),230,1
Just Give Me a Reason (2021 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2019),182,18
Shape of You (2024 Remaster),P!nk,All the Right Reasons (2022),234,9
I'm Yours (2023 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2022),199,18
Just Give Me a Reason (2024 Remaster),P!nk,All the Right Reasons (2018),276,16
Don't Stop Believin' (2023 Remaster),Nickelback,The Truth About Love (2022),203,13
Shape of You (2019 Remaster),The Beatles,Abbey Road (2022),198,4
Shape of You (2022 Remaster),Nickelback,A Night at the Opera (2015),266,10
Bohemian Rhapsody (2022 Remaster),Nickelback,Abbey Road (2017),226,4
Just Give Me a Reason (2019 Remaster),P!nk,Abbey Road (2022),276,7
Rockstar (2019 Remaster),P!nk,X&Y (2016),285,3
Hey Jude (2021 Remaster),Queen,We Sing. We Dance. We Steal Things (2024),249,18
Fix You (2019 Remaster),Jason Mraz,Greatest Hits (2018),193,2
Someone Like You (2019 Remaster),Imagine Dragons,The Truth About Love (2023),226,8
I'm Yours (2019 Remaster),Coldplay,Divide (2024),193,3
Believer (2020 Remaster),Ed Sheeran,The Truth About Love (2015),299,18
Rockstar (2024 Remaster),Journey,All the Right Reasons (2023),282,12
Bohemian Rhapsody (2023 Remaster),Adele,A Night at the Opera (2021),253,18
Fix You (2023 Remaster),Jason Mraz,21 (2019),229,13
Fix You (2022 Remaster),Ed Sheeran,A Night at the Opera (2015),195,6
Someone Like You (2019 Remaster),Ed Sheeran,21 (2016),272,18
I'm Yours (2021 Remaster),P!nk,We Sing. We Dance. We Steal Things (2019),180,8
Fix You (2020 Remaster),The Beatles,All the Right Reasons (2019),233,11
Shape of You (2024 Remaster),Ed Sheeran,21 (2021),226,19
Someone Like You (2019 Remaster),Coldplay,21 (2018),284,14
Just Give Me a Reason (2021 Remaster),Coldplay,The Truth About Love (2024),259,18
Shape of You (2018 Remaster),Nickelback,Abbey Road (2018),227,6
Hey Jude (2018 Remaster),Adele,Abbey Road (2018),228,2
Shape of You (2024 Remaster),Journey,Abbey Road (2022),196,11
Hey Jude (2018 Remaster),The Beatles,X&Y (2016),263,8
Don't Stop Believin' (2019 Remaster),Coldplay,A Night at the Opera (2017),251,8
Don't Stop Believin' (2021 Remaster),Adele,The Truth About Love (2019),208,18
Shape of You (2018 Remaster),Coldplay,Night Visions (2019),211,17
Don't Stop Believin' (2021 Remaster),Journey,We Sing. We Dance. We Steal Things (2020),298,2
I'm Yours (2024 Remaster),Journey,We Sing. We Dance. We Steal Things (2019),229,18
Believer (2020 Remaster),The Beatles,Night Visions (2017),202,15
Believer (2018 Remaster),The Beatles,Night Visions (2018),187,15
Shape of You (2020 Remaster),Imagine Dragons,All the Right Reasons (2022),239,6
Bohemian Rhapsody (2023 Remaster),Adele,Night Visions (2018),264,2
Shape of You (2023 Remaster),Coldplay,X&Y (2015),198,1
Shape of You (2024 Remaster),Coldplay,21 (2024),251,7
Bohemian Rhapsody (2022 Remaster),Nickelback,All the Right Reasons (2021),224,7
Just Give Me a Reason (2022 Remaster),Queen,21 (2023),275,6
Just Give Me a Reason (2020 Remaster),The Beatles,The Truth About Love (2022),227,9
Believer (2020 Remaster),Queen,All the Right Reasons (2021),188,9
Don't Stop Believin' (2020 Remaster),Journey,Night Visions (2015),254,8
Believer (2024 Remaster),Jason Mraz,Night Visions (2020),232,5
Rockstar (2018 Remaster),Journey,21 (2021),180,3
Bohemian Rhapsody (2018 Remaster),Ed Sheeran,Greatest Hits (2017),272,2
Just Give Me a Reason (2021 Remaster),Adele,Divide (2017),220,20
Hey Jude (2024 Remaster),Queen,All the Right Reasons (2019),222,1
Rockstar (2020 Remaster),Imagine Dragons,Night Visions (2020),217,7
Someone Like You (2023 Remaster),The Beatles,Abbey Road (2016),251,7
Rockstar (2020 Remaster),Adele,A Night at the Opera (2022),228,9
I'm Yours (2020 Remaster),Imagine Dragons,Greatest Hits (2015),228,16
Rockstar (2020 Remaster),Ed Sheeran,The Truth About Love (2023),200,7
Rockstar (2018 Remaster),Queen,21 (2019),199,5
Fix You (2019 Remaster),P!nk,The Truth About Love (2019),221,7
Fix You (2019 Remaster),Ed Sheeran,Abbey Road (2019),288,1
Fix You (2024 Remaster),Jason Mraz,Divide (2017),297,16
Shape of You (2019 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2021),296,8
Rockstar (2019 Remaster),The Beatles,The Truth About Love (2021),275,1
Hey Jude (2024 Remaster),Ed Sheeran,Night Visions (2017),225,16
Someone Like You (2020 Remaster),P!nk,We Sing. We Dance. We Steal Things (2022),190,14
Fix You (2021 Remaster),Coldplay,X&Y (2019),299,16
Bohemian Rhapsody (2024 Remaster),The Beatles,Night Visions (2015),204,12
Believer (2018 Remaster),Nickelback,Night Visions (2015),200,2
Hey Jude (2019 Remaster),The Beatles,Night Visions (2015),256,17
Fix You (2023 Remaster),Jason Mraz,The Truth About Love (2016),232,12
Shape of You (2021 Remaster),Coldplay,All the Right Reasons (2018),291,10
Shape of You (2024 Remaster),Nickelback,X&Y (2016),204,14
Fix You (2024 Remaster),Imagine Dragons,Night Visions (2015),255,8
Just Give Me a Reason (2019 Remaster),The Beatles,21 (2016),234,14
Fix You (2018 Remaster),Nickelback,Divide (2015),291,8
I'm Yours (2022 Remaster),Ed Sheeran,Abbey Road (2019),292,14
Hey Jude (2024 Remaster),Imagine Dragons,A Night at the Opera (2019),259,4
Bohemian Rhapsody (2020 Remaster),Coldplay,X&Y (2015),281,15
Someone Like You (2018 Remaster),Ed Sheeran,Divide (2020),280,10
I'm Yours (2020 Remaster),Nickelback,Abbey Road (2020),242,4
Just Give Me a Reason (2024 Remaster),Jason Mraz,Abbey Road (2023),260,12
I'm Yours (2020 Remaster),Queen,Night Visions (2016),279,11
Shape of You (2022 Remaster),Ed Sheeran,All the Right Reasons (2024),204,15
Rockstar (2020 Remaster),Queen,We Sing. We Dance. We Steal Things (2017),195,13
Someone Like You (2019 Remaster),Queen,Night Visions (2018),241,4
I'm Yours (2023 Remaster),Adele,Divide (2022),271,8
Someone Like You (2022 Remaster),The Beatles,Abbey Road (2016),278,4
Bohemian Rhapsody (2023 Remaster),The Beatles,The Truth About Love (2018),292,16
Shape of You (2018 Remaster),Imagine Dragons,Abbey Road (2015),254,2
Bohemian Rhapsody (2021 Remaster),Coldplay,X&Y (2018),229,2
I'm Yours (2022 Remaster),The Beatles,All the Right Reasons (2021),257,16
Someone Like You (2018 Remaster),The Beatles,Greatest Hits (2022),236,3
Fix You (2024 Remaster),Jason Mraz,Divide (2021),231,1
I'm Yours (2020 Remaster),Adele,The Truth About Love (2019),195,18
Rockstar (2019 Remaster),Coldplay,21 (2016),262,3
I'm Yours (2018 Remaster),Journey,We Sing. We Dance. We Steal Things (2024),230,2
Don't Stop Believin' (2019 Remaster),The Beatles,Abbey Road (2017),258,11
Just Give Me a Reason (2019 Remaster),Imagine Dragons,Greatest Hits (2015),218,20
Bohemian Rhapsody (2018 Remaster),P!nk,Greatest Hits (2017),223,8
Bohemian Rhapsody (2023 Remaster),The Beatles,21 (2019),203,18
Someone Like You (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2015),260,4
Fix You (2019 Remaster),Nickelback,Night Visions (2021),252,19
